Region_code,Region_label,Civilstand_code,Civilstand_label,Alder_code,Alder_label,Kon_code,Kon_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
01,Stockholms län,OG,ogifta,26,26 år,1,män,BE0101N1,Folkmängd,2024,2024,14578
01,Stockholms län,OG,ogifta,26,26 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,13329
01,Stockholms län,OG,ogifta,27,27 år,1,män,BE0101N1,Folkmängd,2024,2024,14608
01,Stockholms län,OG,ogifta,27,27 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,13463
01,Stockholms län,OG,ogifta,28,28 år,1,män,BE0101N1,Folkmängd,2024,2024,14852
01,Stockholms län,OG,ogifta,28,28 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,13997
01,Stockholms län,OG,ogifta,29,29 år,1,män,BE0101N1,Folkmängd,2024,2024,15688
01,Stockholms län,OG,ogifta,29,29 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,13745
01,Stockholms län,OG,ogifta,30,30 år,1,män,BE0101N1,Folkmängd,2024,2024,16201
01,Stockholms län,OG,ogifta,30,30 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,14074
01,Stockholms län,OG,ogifta,31,31 år,1,män,BE0101N1,Folkmängd,2024,2024,15593
01,Stockholms län,OG,ogifta,31,31 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,13530
01,Stockholms län,OG,ogifta,32,32 år,1,män,BE0101N1,Folkmängd,2024,2024,15396
01,Stockholms län,OG,ogifta,32,32 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,12973
01,Stockholms län,OG,ogifta,33,33 år,1,män,BE0101N1,Folkmängd,2024,2024,14671
01,Stockholms län,OG,ogifta,33,33 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,12145
01,Stockholms län,OG,ogifta,34,34 år,1,män,BE0101N1,Folkmängd,2024,2024,13880
01,Stockholms län,OG,ogifta,34,34 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,11549
01,Stockholms län,OG,ogifta,35,35 år,1,män,BE0101N1,Folkmängd,2024,2024,12778
01,Stockholms län,OG,ogifta,35,35 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,10293
01,Stockholms län,OG,ogifta,36,36 år,1,män,BE0101N1,Folkmängd,2024,2024,11831
01,Stockholms län,OG,ogifta,36,36 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,9437
01,Stockholms län,OG,ogifta,37,37 år,1,män,BE0101N1,Folkmängd,2024,2024,10654
01,Stockholms län,OG,ogifta,37,37 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,8273
01,Stockholms län,OG,ogifta,38,38 år,1,män,BE0101N1,Folkmängd,2024,2024,9665
01,Stockholms län,OG,ogifta,38,38 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,7550
01,Stockholms län,OG,ogifta,39,39 år,1,män,BE0101N1,Folkmängd,2024,2024,8949
01,Stockholms län,OG,ogifta,39,39 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,6845
01,Stockholms län,OG,ogifta,40,40 år,1,män,BE0101N1,Folkmängd,2024,2024,8209
01,Stockholms län,OG,ogifta,40,40 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,6313
01,Stockholms län,OG,ogifta,41,41 år,1,män,BE0101N1,Folkmängd,2024,2024,7645
01,Stockholms län,OG,ogifta,41,41 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,5969
01,Stockholms län,OG,ogifta,42,42 år,1,män,BE0101N1,Folkmängd,2024,2024,7245
01,Stockholms län,OG,ogifta,42,42 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,5622
01,Stockholms län,OG,ogifta,43,43 år,1,män,BE0101N1,Folkmängd,2024,2024,6858
01,Stockholms län,OG,ogifta,43,43 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,5378
01,Stockholms län,OG,ogifta,44,44 år,1,män,BE0101N1,Folkmängd,2024,2024,6822
01,Stockholms län,OG,ogifta,44,44 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,5480
01,Stockholms län,OG,ogifta,45,45 år,1,män,BE0101N1,Folkmängd,2024,2024,6207
01,Stockholms län,OG,ogifta,45,45 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4883
01,Stockholms län,OG,ogifta,46,46 år,1,män,BE0101N1,Folkmängd,2024,2024,5601
01,Stockholms län,OG,ogifta,46,46 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4642
01,Stockholms län,OG,ogifta,47,47 år,1,män,BE0101N1,Folkmängd,2024,2024,5475
01,Stockholms län,OG,ogifta,47,47 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4352
01,Stockholms län,OG,ogifta,48,48 år,1,män,BE0101N1,Folkmängd,2024,2024,5402
01,Stockholms län,OG,ogifta,48,48 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4480
01,Stockholms län,OG,ogifta,49,49 år,1,män,BE0101N1,Folkmängd,2024,2024,5194
01,Stockholms län,OG,ogifta,49,49 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4454
01,Stockholms län,OG,ogifta,50,50 år,1,män,BE0101N1,Folkmängd,2024,2024,5394
01,Stockholms län,OG,ogifta,50,50 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4381
01,Stockholms län,OG,ogifta,51,51 år,1,män,BE0101N1,Folkmängd,2024,2024,4965
01,Stockholms län,OG,ogifta,51,51 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4300
01,Stockholms län,OG,ogifta,52,52 år,1,män,BE0101N1,Folkmängd,2024,2024,5039
01,Stockholms län,OG,ogifta,52,52 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4174
01,Stockholms län,OG,ogifta,53,53 år,1,män,BE0101N1,Folkmängd,2024,2024,4860
01,Stockholms län,OG,ogifta,53,53 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,4066
01,Stockholms län,OG,ogifta,54,54 år,1,män,BE0101N1,Folkmängd,2024,2024,4386
01,Stockholms län,OG,ogifta,54,54 år,2,kvinnor,BE0101N1,Folkmängd,2024,2024,3792
01,Stockholms län,OG,ogifta,55,55 år,1,män,BE0101N1,Folkmängd,2024,2024,4124
