region_code,region,atc,year,patients,population,patients_per_100k,national_per_100k,expected_patients,gap,gap_pct,gap_category,brand,indication_short,healthcare_region
20,Dalarna,L01EH03,2024,0,286546,0,0.547804954990267,2,-2,-100,Severe under-use (≤−50%),Tukysa,HER2+ BC + brain mets,Mellansverige
20,Dalarna,N02CD06,2024,17,286546,5.932729823483839,25.2651423206718,72,-55,-76.38888888888889,Severe under-use (≤−50%),Vydura,Acute migraine,Mellansverige
20,Dalarna,J05AE30,2024,10,286546,3.489841072637552,6.318646808422218,18,-8,-44.44444444444444,Moderate under-use (−50 to −20%),Paxlovid,COVID-19,Mellansverige
21,Gävleborg,L01EF01,2024,5,284558,1.7571110283316582,7.112019501856397,20,-15,-75,Severe under-use (≤−50%),Ibrance,HR+/HER2- BC,Mellansverige
21,Gävleborg,N07XX08,2024,9,284558,3.162799850996985,4.372994726905063,12,-3,-25,Moderate under-use (−50 to −20%),Vyndaqel,ATTR-CM,Mellansverige
21,Gävleborg,L01XK04,2024,3,284558,1.054266616998995,0.29279230352928065,1,2,200,Severe over-use (≥+50%),Talzenna,BRCA-mut HER2- BC,Mellansverige
21,Gävleborg,L01ED04,2024,3,284558,1.054266616998995,0.5194702159390463,1,2,200,Severe over-use (≥+50%),Lorbrena/Lorviqua,ALK+ NSCLC,Mellansverige
21,Gävleborg,L01EH03,2024,1,284558,0.35142220566633164,0.547804954990267,2,-1,-50,Severe under-use (≤−50%),Tukysa,HER2+ BC + brain mets,Mellansverige
21,Gävleborg,N02CD06,2024,28,284558,9.839821758657287,25.2651423206718,72,-44,-61.111111111111114,Severe under-use (≤−50%),Vydura,Acute migraine,Mellansverige
21,Gävleborg,J05AE30,2024,13,284558,4.568488673662311,6.318646808422218,18,-5,-27.77777777777778,Moderate under-use (−50 to −20%),Paxlovid,COVID-19,Mellansverige
22,Västernorrland,L01EF01,2024,20,241458,8.28301402314274,7.112019501856397,17,3,17.647058823529413,Near expected (±20%),Ibrance,HR+/HER2- BC,Norra
22,Västernorrland,N07XX08,2024,7,241458,2.8990549080999592,4.372994726905063,11,-4,-36.36363636363637,Moderate under-use (−50 to −20%),Vyndaqel,ATTR-CM,Norra
22,Västernorrland,L01XK04,2024,0,241458,0,0.29279230352928065,1,-1,-100,Severe under-use (≤−50%),Talzenna,BRCA-mut HER2- BC,Norra
22,Västernorrland,L01ED04,2024,0,241458,0,0.5194702159390463,1,-1,-100,Severe under-use (≤−50%),Lorbrena/Lorviqua,ALK+ NSCLC,Norra
22,Västernorrland,L01EH03,2024,1,241458,0.41415070115713704,0.547804954990267,1,0,0,Near expected (±20%),Tukysa,HER2+ BC + brain mets,Norra
22,Västernorrland,N02CD06,2024,34,241458,14.08112383934266,25.2651423206718,61,-27,-44.26229508196721,Moderate under-use (−50 to −20%),Vydura,Acute migraine,Norra
22,Västernorrland,J05AE30,2024,14,241458,5.7981098161999185,6.318646808422218,15,-1,-6.666666666666667,Near expected (±20%),Paxlovid,COVID-19,Norra
23,Jämtland Härjedalen,L01EF01,2024,7,132839,5.269536807714602,7.112019501856397,9,-2,-22.22222222222222,Moderate under-use (−50 to −20%),Ibrance,HR+/HER2- BC,Norra
23,Jämtland Härjedalen,N07XX08,2024,10,132839,7.527909725306574,4.372994726905063,6,4,66.66666666666666,Severe over-use (≥+50%),Vyndaqel,ATTR-CM,Norra
23,Jämtland Härjedalen,L01XK04,2024,0,132839,0,0.29279230352928065,0,0,0,Near expected (±20%),Talzenna,BRCA-mut HER2- BC,Norra
23,Jämtland Härjedalen,L01ED04,2024,0,132839,0,0.5194702159390463,1,-1,-100,Severe under-use (≤−50%),Lorbrena/Lorviqua,ALK+ NSCLC,Norra
23,Jämtland Härjedalen,L01EH03,2024,0,132839,0,0.547804954990267,1,-1,-100,Severe under-use (≤−50%),Tukysa,HER2+ BC + brain mets,Norra
23,Jämtland Härjedalen,N02CD06,2024,12,132839,9.033491670367889,25.2651423206718,34,-22,-64.70588235294117,Severe under-use (≤−50%),Vydura,Acute migraine,Norra
23,Jämtland Härjedalen,J05AE30,2024,14,132839,10.539073615429205,6.318646808422218,8,6,75,Severe over-use (≥+50%),Paxlovid,COVID-19,Norra
24,Västerbotten,L01EF01,2024,12,281138,4.268366425029701,7.112019501856397,20,-8,-40,Moderate under-use (−50 to −20%),Ibrance,HR+/HER2- BC,Norra
24,Västerbotten,N07XX08,2024,67,281138,23.831712539749162,4.372994726905063,12,55,458.3333333333333,Severe over-use (≥+50%),Vyndaqel,ATTR-CM,Norra
24,Västerbotten,L01XK04,2024,0,281138,0,0.29279230352928065,1,-1,-100,Severe under-use (≤−50%),Talzenna,BRCA-mut HER2- BC,Norra
24,Västerbotten,L01ED04,2024,1,281138,0.3556972020858084,0.5194702159390463,1,0,0,Near expected (±20%),Lorbrena/Lorviqua,ALK+ NSCLC,Norra
24,Västerbotten,L01EH03,2024,2,281138,0.7113944041716168,0.547804954990267,2,0,0,Near expected (±20%),Tukysa,HER2+ BC + brain mets,Norra
24,Västerbotten,N02CD06,2024,22,281138,7.825338445887785,25.2651423206718,71,-49,-69.01408450704226,Severe under-use (≤−50%),Vydura,Acute migraine,Norra
24,Västerbotten,J05AE30,2024,7,281138,2.4898804146006586,6.318646808422218,18,-11,-61.111111111111114,Severe under-use (≤−50%),Paxlovid,COVID-19,Norra
25,Norrbotten,L01EF01,2024,2,248620,0.8044405116241654,7.112019501856397,18,-16,-88.88888888888889,Severe under-use (≤−50%),Ibrance,HR+/HER2- BC,Norra
25,Norrbotten,N07XX08,2024,77,248620,30.97095969753037,4.372994726905063,11,66,600,Severe over-use (≥+50%),Vyndaqel,ATTR-CM,Norra
25,Norrbotten,L01XK04,2024,0,248620,0,0.29279230352928065,1,-1,-100,Severe under-use (≤−50%),Talzenna,BRCA-mut HER2- BC,Norra
25,Norrbotten,L01ED04,2024,1,248620,0.4022202558120827,0.5194702159390463,1,0,0,Near expected (±20%),Lorbrena/Lorviqua,ALK+ NSCLC,Norra
25,Norrbotten,L01EH03,2024,0,248620,0,0.547804954990267,1,-1,-100,Severe under-use (≤−50%),Tukysa,HER2+ BC + brain mets,Norra
25,Norrbotten,N02CD06,2024,20,248620,8.044405116241654,25.2651423206718,63,-43,-68.25396825396825,Severe under-use (≤−50%),Vydura,Acute migraine,Norra
25,Norrbotten,J05AE30,2024,8,248620,3.2177620464966616,6.318646808422218,16,-8,-50,Severe under-use (≤−50%),Paxlovid,COVID-19,Norra
