atc,brand,r2,adj_r2,n
L01EF01,Ibrance,0.3618419110004824,0.08834558714354634,21
N07XX08,Vyndaqel,0.2259589426216229,-0.03205474317116952,21
L01EH03,Tukysa,0.3119737908283723,0.08263172110449646,21
N02CD06,Vydura,0.5230625361678569,0.3640833815571426,21
J05AE30,Paxlovid,0.2109118056234999,-0.12726884910928593,21
