Brick,County Council,CDK4/6 total SEK (last 6mo),Ibrance SEK,Kisqali SEK,Verzenios SEK,Ibrance share %,Kisqali share %,Verzenios share %,Kisqali last6 vs prev6 %,Recovery SEK (kr),Defense-risk SEK (kr),Priority quadrant
75 - Stockholm-S,01 - Stockholms län,16080348.830000002,2029454.89,4556507.890000001,9494386.05,12.620714335585713,28.335877151490873,59.04340851292341,8.97845912283437,782006.7993904891,0.0,Stable mid-tier
73 - Stockholm-V,01 - Stockholms län,12554888.41,1927128.52,3685037.3,6942722.59,15.349626831131669,29.351414203449693,55.298958965418635,-6.8080930371037605,267947.4794357449,0.0,Stable mid-tier
81 - Göteborg-Centrum + V,14 - Västra Götalands län,10291456.97,3274414.0100000002,2019980.37,4997062.59,31.816816798098124,19.627739550272832,48.55544365162904,4.774145153706256,-1475072.6334506634,156325.27777069368,Stronghold
72 - Stockholm-NV,01 - Stockholms län,10061290.43,1790695.56,3188476.63,5082118.24,17.797871679169887,31.690533656526203,50.511594664303914,-4.262130173097926,-31596.121995075042,0.0,Stable mid-tier
71 - Stockholm-NO,01 - Stockholms län,9153002.98,1193795.57,2026529.19,5932678.22,13.042665588643784,22.140593578174492,64.81674083318171,6.733418658445614,406500.38708384737,0.0,Stable mid-tier
27 - Helsingborg/Landskrona,12 - Skåne län,8786671.600000001,1330230.36,2948451.5300000003,4507989.71,15.139183761004563,33.5559545664595,51.30486167253593,15.873570075122641,206016.82231037467,0.0,Stable mid-tier
76 - Stockholm-SV,01 - Stockholms län,8473637.76,1620154.27,2706998.4999999995,4146484.99,19.119937810511267,31.946120151352797,48.93394203813594,8.516843120215723,-138637.4084026241,137985.99748137628,Stable mid-tier
91 - Malmö,12 - Skåne län,8259178.720000001,1858912.05,1466990.14,4933276.53,22.507226360153155,17.761937230485305,59.73083640936153,-17.8604111452805,-414890.8535326362,0.0,Stronghold
04 - Uppsala,03 - Uppsala län,6846377.0600000005,1176742.04,4011045.58,1658589.4400000002,17.187806480527087,58.58639605806344,24.225797461409464,57.66702731164399,20267.242497753447,0.0,Stable mid-tier
10 - Norrköping,05 - Östergötlands län,6538781.78,903872.68,2062550.54,3572358.56,13.823258068722396,31.5433456780691,54.6333962532085,35.346188397264584,239357.15065253244,0.0,Stable mid-tier
11 - Jönköping,06 - Jönköpings län,5966724.3,665115.63,1495334.03,3806274.6399999997,11.147081657518514,25.06122211813943,63.791696224342054,15.924912569696515,378096.61358696205,0.0,Recovery target
