month,Ibrance,Kisqali,Verzenios
2023-09-01,58.559965598566166,28.97118290006371,12.468851501370134
2023-10-01,56.509132286358586,29.466039606726397,14.024828106915018
2023-11-01,54.52363370728097,29.236501208221743,16.239865084497293
2023-12-01,51.7879453221775,29.442214790550448,18.769839887272052
2024-01-01,48.17053405804928,28.535124557626595,23.294341384324127
2024-02-01,44.349266457180725,28.097056804168385,27.55367673865089
2024-03-01,41.64722990802714,27.068277881975796,31.28449220999705
2024-04-01,38.67749343444156,26.586779080748386,34.735727484810056
2024-05-01,35.94563885199613,26.319193771694355,37.73516737630952
2024-06-01,33.68754293427431,25.6638439194538,40.648613146271884
2024-07-01,32.31239766523933,25.870093398826327,41.817508935934335
2024-08-01,31.648978085680383,25.947446787301303,42.403575127018314
2024-09-01,30.543315815671395,26.135879717492642,43.32080446683596
2024-10-01,29.75542782420491,25.892128646698094,44.352443529097
2024-11-01,28.687111472887715,25.803502462258038,45.50938606485425
2024-12-01,27.84642405819038,25.923473270549717,46.23010267125991
2025-01-01,26.015985501887855,26.215945552451387,47.768068945660744
2025-02-01,24.38937131987912,26.306503611473147,49.30412506864773
2025-03-01,22.788224669130912,27.433127418740295,49.77864791212879
2025-04-01,21.308529648475012,28.324254554827416,50.36721579669757
2025-05-01,20.14659610275424,28.932852583927797,50.920551313317965
2025-06-01,19.32052866072634,29.456802430283453,51.22266890899021
2025-07-01,19.081899566735704,29.74305267880472,51.17504775445957
2025-08-01,18.930171438319697,30.129902451980932,50.939926109699364
2025-09-01,18.884336746463624,29.815192034194986,51.30047121934139
2025-10-01,18.53140183309113,30.151183588054693,51.31741457885417
2025-11-01,18.339907256390326,30.63730635133512,51.02278639227455
2025-12-01,18.039904734160235,31.088947187287513,50.87114807855227
2026-01-01,17.8825462198306,31.741217127731787,50.37623665243761
2026-02-01,17.65846637250107,32.06246603879092,50.279067588708
2026-03-01,17.48383520228951,32.44656250580264,50.069602291907856
