region,patients_2025,patients_2026,lower80_2025,lower80_2026,upper80_2025,upper80_2026,patients_2024,pct_change_2024_2026
Stockholm,155,155,112.70394425360755,95.1843443285633,197.29605574639245,214.8156556714367,155,0
Skåne,161.25805450961698,161.25805450961698,118.25753213902797,115.93232946436764,204.258576880206,206.58377955486634,148,8.958144938930394
Västra Götaland,140,140,95.00403284430996,76.3660929963288,184.99596715569004,203.6339070036712,140,0
Halland,59.34778680396553,59.34778680396553,50.06584431384709,48.577308605076325,68.62972929408397,70.11826500285474,58,2.3237703516647126
Uppsala,43,43,35.391209154272204,32.239544792711506,50.608790845727796,53.760455207288494,43,0
Östergötland,35,35,18.37683858741194,11.491299680800864,51.62316141258806,58.508700319199136,35,0
