Landsting , "1997(tot)" , "1997(inc/100.000)" , "1998(tot)" , "1998(inc/100.000)" , "1999(tot)" , "1999(inc/100.000)" , "2000(tot)" , "2000(inc/100.000)" , "2001(tot)" , "2001(inc/100.000)" , "2002(tot)" , "2002(inc/100.000)" , "2003(tot)" , "2003(inc/100.000)" , "2004(tot)" , "2004(inc/100.000)" , "2005(tot)" , "2005(inc/100.000)" , "2006(tot)" , "2006(inc/100.000)" , "2007(tot)" , "2007(inc/100.000)" , "2008(tot)" , "2008(inc/100.000)" , "2009(tot)" , "2009(inc/100.000)" , "2010(tot)" , "2010(inc/100.000)" , "2011(tot)" , "2011(inc/100.000)" , "2012(tot)" , "2012(inc/100.000)" , "2013(tot)" , "2013(inc/100.000)" , "2014(tot)" , "2014(inc/100.000)" , "2015(tot)" , "2015(inc/100.000)" , "2016(tot)" , "2016(inc/100.000)" , "2017(tot)" , "2017(inc/100.000)" , "2018(tot)" , "2018(inc/100.000)" , "2019(tot)" , "2019(inc/100.000)" , "2020(tot)" , "2020(inc/100.000)" , "2021(tot)" , "2021(inc/100.000)" , "2022(tot)" , "2022(inc/100.000)" , "2023(tot)" , "2023(inc/100.000)" , "2024(tot)" , "2024(inc/100.000)" , "2025(tot)" , "2025(inc/100.000)"
"Blekinge " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.67 , 0 , 0 , 0 , 0 , 2 , 1.32 , 2 , 1.31 , 1 , 0.65 , 2 , 1.30 , 0 , 0 , 1 , 0.66 , 1 , 0.65 , 1 , 0.65 , 1 , 0.64 , 1 , 0.63 , 8 , 5.02 , 4 , 2.50 , 0 , 0 , 4 , 2.51 , 3 , 1.89 , 4 , 2.52 , 5 , 3.17 , 2 , 1.27 , 2 , 1.28 , 0 , 0
"Dalarna " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.36 , 6 , 2.18 , 0 , 0 , 2 , 0.72 , 3 , 1.08 , 0 , 0 , 1 , 0.36 , 2 , 0.72 , 1 , 0.36 , 3 , 1.05 , 2 , 0.70 , 5 , 1.74 , 6 , 2.08 , 1 , 0.35 , 2 , 0.69 , 6 , 2.08 , 10 , 3.48 , 6 , 2.09 , 4 , 1.40 , 0 , 0
"Gotland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1.75 , 3 , 5.25 , 3 , 5.26 , 0 , 0 , 0 , 0 , 2 , 3.49 , 0 , 0 , 1 , 1.75 , 0 , 0 , 6 , 10.45 , 1 , 1.72 , 1 , 1.71 , 3 , 5.06 , 3 , 5.03 , 0 , 0 , 1 , 1.64 , 1 , 1.63 , 0 , 0 , 0 , 0 , 3 , 4.93 , 0 , 0
"Gävleborg " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.36 , 2 , 0.72 , 2 , 0.72 , 2 , 0.72 , 0 , 0 , 1 , 0.36 , 4 , 1.44 , 2 , 0.71 , 6 , 2.13 , 2 , 0.70 , 1 , 0.35 , 5 , 1.74 , 8 , 2.78 , 4 , 1.39 , 3 , 1.04 , 8 , 2.78 , 12 , 4.20 , 12 , 4.22 , 13 , 4.59 , 0 , 0
"Halland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0.70 , 0 , 0 , 0 , 0 , 1 , 0.34 , 2 , 0.68 , 1 , 0.34 , 0 , 0 , 0 , 0 , 1 , 0.33 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.31 , 4 , 1.21 , 4 , 1.20 , 3 , 0.89 , 4 , 1.18 , 1 , 0.29 , 6 , 1.75 , 4 , 1.16 , 4 , 1.16 , 0 , 0
"Jämtland " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.79 , 1 , 0.79 , 0 , 0 , 1 , 0.79 , 1 , 0.79 , 1 , 0.79 , 0 , 0 , 0 , 0 , 1 , 0.79 , 0 , 0 , 2 , 1.54 , 1 , 0.77 , 0 , 0 , 0 , 0 , 4 , 3.03 , 2 , 1.51 , 1 , 0.75 , 2 , 1.51 , 2 , 1.51 , 0 , 0
"Jönköping " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0.61 , 3 , 0.91 , 3 , 0.90 , 3 , 0.90 , 5 , 1.49 , 5 , 1.49 , 3 , 0.89 , 5 , 1.48 , 1 , 0.29 , 3 , 0.88 , 4 , 1.16 , 2 , 0.57 , 3 , 0.85 , 8 , 2.24 , 14 , 3.88 , 8 , 2.20 , 8 , 2.19 , 18 , 4.90 , 23 , 6.23 , 17 , 4.61 , 15 , 4.05 , 21 , 5.68 , 0 , 0
"Kalmar " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.43 , 2 , 0.86 , 2 , 0.86 , 2 , 0.86 , 4 , 1.71 , 0 , 0 , 3 , 1.29 , 5 , 2.14 , 2 , 0.86 , 2 , 0.85 , 1 , 0.42 , 4 , 1.65 , 5 , 2.05 , 3 , 1.23 , 5 , 2.04 , 3 , 1.22 , 8 , 3.24 , 5 , 2.02 , 9 , 3.65 , 8 , 3.25 , 8 , 3.26 , 0 , 0
"Kronoberg " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.56 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.54 , 1 , 0.54 , 2 , 1.08 , 3 , 1.60 , 0 , 0 , 2 , 1.05 , 2 , 1.03 , 3 , 1.52 , 6 , 3.00 , 4 , 1.99 , 0 , 0 , 3 , 1.48 , 3 , 1.47 , 8 , 3.93 , 2 , 0.98 , 6 , 2.95 , 0 , 0
"Norrbotten " , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 1.19 , 0 , 0 , 1 , 0.40 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0.40 , 2 , 0.80 , 1 , 0.40 , 0 , 0 , 1 , 0.40 , 0 , 0 , 2 , 0.80 , 1 , 0.40 , 0 , 0 , 1 , 0.40 , 0 , 0 , 0 , 0 , 2 , 0.80 , 1 , 0.40 , 1 , 0.40 , 0 , 0
